Producto,Cadereyta Precio por unidad,Cadereyta Cantidad ordenada,Coahuila Precio por unidad,Coahuila Cantidad ordenada,Durango Precio por unidad,Durango Cantidad ordenada,Expos F Precio por unidad,Expos F Cantidad ordenada,Laredo Precio por unidad,Laredo Cantidad ordenada,Monterrey Precio por unidad,Monterrey Cantidad ordenada,Online Precio por unidad,Online Cantidad ordenada,Queretaro Precio por unidad,Queretaro Cantidad ordenada,Reynosa Precio por unidad,Reynosa Cantidad ordenada,San Luis Precio por unidad,San Luis Cantidad ordenada,Fecha
Producto 13,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5549.099999999999,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 27,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3822.9500000000003,3.5,0.0,0,0.0,0,2022-04-02
Producto 28,0.0,0,0.0,0,0.0,0,0.0,0,8335.44,3.5,6936.7,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 29,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8924.710000000001,3.5,0.0,0,0.0,0,8605.65,3.5,0.0,0,2022-04-02
Producto 30,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4484.4,3.5,0.0,0,5462.39,7,0.0,0,0.0,0,2022-04-02
Producto 16,4353.41,3.5,0.0,0,0.0,0,0.0,0,0.0,0,5869.085,7,0.0,0,6716.410000000001,3.5,0.0,0,7773.62,3.5,2022-04-02
Producto 31,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7804.62,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 17,6242.79,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 32,0.0,0,1729.03,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 20,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,20485.55,3.5,0.0,0,20826.98,3.5,2022-04-02
Producto 33,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4334.4800000000005,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 34,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5981.900000000001,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 35,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8024.05,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 21,0.0,0,1533.8400000000004,3.5,0.0,0,0.0,0,1677.5,7,0.0,0,0.0,0,0.0,0,1688.685,7,0.0,0,2022-04-02
Producto 22,0.0,0,0.0,0,0.0,0,0.0,0,7887.43,3.5,6849.57,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 36,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9620.460000000001,3.5,0.0,0,0.0,0,0.0,0,11814.59,3.5,2022-04-02
Producto 37,0.0,0,1547.84,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 38,0.0,0,3482.6,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 39,0.0,0,5462.49,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 40,0.0,0,6166.86,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 41,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10190.475,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 42,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15825.429999999998,3.5,0.0,0,0.0,0,2022-04-02
Producto 43,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,12954.92,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 23,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,22908.44,3.5,0.0,0,23662.12,3.5,0.0,0,0.0,0,2022-04-02
Producto 44,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,23157.97,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-02
Producto 1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3580.4199999999996,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 45,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9328.43,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 46,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10344.179999999998,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 3,0.0,0,0.0,0,5325.51,3.5,0.0,0,0.0,0,5071.910000000001,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8063.7300000000005,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 7,0.0,0,0.0,0,0.0,0,0.0,0,6199.5599999999995,3.5,5497.14,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 8,0.0,0,0.0,0,0.0,0,0.0,0,9222.41,3.5,0.0,0,0.0,0,0.0,0,0.0,0,8318.06,3.5,2022-04-03
