,lags,params,mean_absolute_percentage_error,learning_rate,max_depth,max_iter
43,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 500}",0.12325485740742877,0.1,5.0,500.0
47,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 500}",0.17985376444237713,0.1,,500.0
31,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 500}",0.20137380733536786,0.1,,500.0
45,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 500}",0.20988632654554293,0.1,10.0,500.0
27,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 500}",0.22915838071549138,0.1,5.0,500.0
29,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 500}",0.23248183257217758,0.1,10.0,500.0
41,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 500}",0.24535661991197327,0.1,3.0,500.0
25,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 500}",0.25066218750481833,0.1,3.0,500.0
13,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 500}",0.3851378583396102,0.1,10.0,500.0
15,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 500}",0.38688834707603964,0.1,,500.0
28,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 100}",0.39104332489008575,0.1,10.0,100.0
30,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 100}",0.4050748412057059,0.1,,100.0
46,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 100}",0.4257014663376849,0.1,,100.0
26,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100}",0.4265545165294122,0.1,5.0,100.0
44,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 100}",0.4376234953794465,0.1,10.0,100.0
24,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 100}",0.45507648271683776,0.1,3.0,100.0
36,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': 10, 'max_iter': 100}",0.4564350086455689,0.01,10.0,100.0
38,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': None, 'max_iter': 100}",0.4564350086455689,0.01,,100.0
20,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': 10, 'max_iter': 100}",0.45683405558684365,0.01,10.0,100.0
22,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': None, 'max_iter': 100}",0.45683405558684365,0.01,,100.0
34,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': 5, 'max_iter': 100}",0.459976867476145,0.01,5.0,100.0
18,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': 5, 'max_iter': 100}",0.46455923176480385,0.01,5.0,100.0
11,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 500}",0.4696578673673333,0.1,5.0,500.0
32,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': 3, 'max_iter': 100}",0.47155144083609263,0.01,3.0,100.0
2,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': 5, 'max_iter': 100}",0.47278482562251956,0.01,5.0,100.0
6,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': None, 'max_iter': 100}",0.4735654756268131,0.01,,100.0
4,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': 10, 'max_iter': 100}",0.473600060444357,0.01,10.0,100.0
16,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': 3, 'max_iter': 100}",0.4743454327278366,0.01,3.0,100.0
0,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': 3, 'max_iter': 100}",0.47863351311455704,0.01,3.0,100.0
9,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 500}",0.49277319591743013,0.1,3.0,500.0
23,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': None, 'max_iter': 500}",0.5029276809057078,0.01,,500.0
17,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': 3, 'max_iter': 500}",0.5034492328586595,0.01,3.0,500.0
21,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': 10, 'max_iter': 500}",0.5086568858657345,0.01,10.0,500.0
42,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100}",0.5211648657041021,0.1,5.0,100.0
14,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 100}",0.5231202944804483,0.1,,100.0
40,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 100}",0.5235329667340844,0.1,3.0,100.0
