,lags,params,mean_absolute_percentage_error,learning_rate,max_depth,max_iter
39,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': None, 'max_iter': 500}",0.5283601764921327,0.01,,500.0
19,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': 5, 'max_iter': 500}",0.5327048306417896,0.01,5.0,500.0
37,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': 10, 'max_iter': 500}",0.5381602108810063,0.01,10.0,500.0
8,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 100}",0.5537373698993205,0.1,3.0,100.0
33,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': 3, 'max_iter': 500}",0.5664904188544996,0.01,3.0,500.0
12,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 100}",0.5688643977837142,0.1,10.0,100.0
7,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': None, 'max_iter': 500}",0.5722744444250034,0.01,,500.0
5,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': 10, 'max_iter': 500}",0.5736603973810894,0.01,10.0,500.0
35,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': 5, 'max_iter': 500}",0.5747053233632371,0.01,5.0,500.0
1,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': 3, 'max_iter': 500}",0.5791192081039296,0.01,3.0,500.0
10,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100}",0.5821633355378296,0.1,5.0,100.0
3,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': 5, 'max_iter': 500}",0.5971656166166914,0.01,5.0,500.0
